"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.620817167E0,5.777984619E-2,1.466949463E-1,9.801916809E0
2.630858167E0,5.403762817E-2,1.475930786E-1,9.805659027E0
2.640899167E0,5.658233643E-2,1.477427673E-1,9.794731750E0
2.650940167E0,5.523513794E-2,1.522334290E-1,9.795480194E0
2.660981167E0,5.373825073E-2,1.460961914E-1,9.790690155E0
2.671022167E0,5.448669434E-2,1.396595764E-1,9.808353424E0
2.681063167E0,4.760101318E-2,1.528321838E-1,9.813891907E0
2.691104167E0,4.819976807E-2,1.562750244E-1,9.816735992E0
2.701145167E0,4.535568237E-2,1.453477478E-1,9.811496887E0
2.711186167E0,4.460723877E-2,1.440005493E-1,9.808353424E0
2.721227167E0,5.493576050E-2,1.583706665E-1,9.814041595E0
2.731268167E0,5.239105225E-2,1.510359192E-1,9.804611206E0
2.741310167E0,5.059478760E-2,1.486408997E-1,9.817783813E0
2.751351167E0,4.864883423E-2,1.567240906E-1,9.811945953E0
2.761392167E0,5.254074097E-2,1.532812500E-1,9.791438599E0
2.771433167E0,6.077362061E-2,1.571731567E-1,9.803264008E0
2.781474167E0,5.448669434E-2,1.519340515E-1,9.801767120E0
2.791515167E0,5.538482666E-2,1.440005493E-1,9.808652802E0
2.801556167E0,4.909790039E-2,1.472937012E-1,9.803264008E0
2.811597167E0,5.748046875E-2,1.462458801E-1,9.809850311E0
2.821638167E0,5.837860107E-2,1.440005493E-1,9.804162140E0
2.831679167E0,4.490661621E-2,1.493893433E-1,9.804012451E0
2.841720167E0,5.987548828E-2,1.410067749E-1,9.802216187E0
2.851761167E0,5.598358154E-2,1.416055298E-1,9.810898132E0
2.861802167E0,4.745132446E-2,1.477427673E-1,9.799821167E0
2.871843167E0,5.269042969E-2,1.395098877E-1,9.796677704E0
2.881884167E0,4.819976807E-2,1.556762695E-1,9.807904358E0
2.891925167E0,5.882766724E-2,1.386117554E-1,9.802066498E0
2.901966167E0,5.777984619E-2,1.456471252E-1,9.802814941E0
2.912007167E0,6.361770630E-2,1.547781372E-1,9.802964630E0
2.922048167E0,5.568420410E-2,1.540296936E-1,9.804311829E0
2.932089167E0,5.493576050E-2,1.549278259E-1,9.801617432E0
2.942130167E0,4.505630493E-2,1.475930786E-1,9.798923035E0
2.952171167E0,6.167175293E-2,1.501377869E-1,9.800120544E0
2.962212167E0,4.864883423E-2,1.543290710E-1,9.817484436E0
2.972253167E0,4.924758911E-2,1.501377869E-1,9.805958405E0
2.982294167E0,5.284011841E-2,1.492396545E-1,9.806108093E0
2.992335167E0,4.505630493E-2,1.589694214E-1,9.802365875E0
3.002377167E0,5.239105225E-2,1.511856079E-1,9.804162140E0
3.012418167E0,5.568420410E-2,1.372645569E-1,9.812993774E0
3.022459167E0,5.733078003E-2,1.457968140E-1,9.821076965E0
3.032500167E0,4.939727783E-2,1.498384094E-1,9.810149689E0
3.042541167E0,5.179229736E-2,1.478924561E-1,9.815987549E0
