"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.715556952E2,3.378906250E-1,4.142541122E1,-2.832901001E0
6.715657382E2,2.283630371E-1,4.146649551E1,-2.674652100E0
6.715757812E2,3.912048340E-1,4.151131821E1,-2.623519897E0
6.715858242E2,3.909606934E-1,4.147372055E1,-2.587554932E0
6.715958672E2,5.840911865E-1,4.159180069E1,-2.704086304E0
6.716059102E2,5.327148438E-1,4.160454178E1,-2.850433350E0
6.716159532E2,6.236419678E-1,4.166013718E1,-2.911392212E0
6.716259962E2,5.798187256E-1,4.154147720E1,-2.857894897E0
6.716360392E2,5.591278076E-1,4.153590775E1,-2.693328857E0
6.716460822E2,5.683593750E-1,4.162044907E1,-2.805328369E0
6.716561252E2,3.790283203E-1,4.166222763E1,-2.727584839E0
6.716661682E2,3.565673828E-1,4.165864182E1,-2.558441162E0
6.716762112E2,4.287261963E-1,4.155440140E1,-2.721069336E0
6.716862542E2,4.113311768E-1,4.168349075E1,-2.695526123E0
6.716962982E2,4.746704102E-1,4.156048965E1,-2.572692871E0
6.717063412E2,4.768676758E-1,4.156971359E1,-2.755386353E0
6.717163838E2,4.814910889E-1,4.163920975E1,-2.876800537E0
6.717264268E2,6.493835449E-1,4.166466904E1,-2.490509033E0
6.717364698E2,4.261779785E-1,4.168784714E1,-2.745635986E0
6.717465128E2,5.165710449E-1,4.166271591E1,-2.629959106E0
6.717565558E2,4.512329102E-1,4.172053146E1,-2.536773682E0
6.717665988E2,3.126983643E-1,4.163028336E1,-2.497344971E0
6.717766418E2,4.206390381E-1,4.156419754E1,-2.609054565E0
6.717866848E2,3.016052246E-1,4.161364365E1,-2.666900635E0
6.717967278E2,4.753417969E-1,4.159962082E1,-2.464065552E0
6.718067708E2,4.931488037E-1,4.163856125E1,-2.627822876E0
6.718168138E2,4.101257324E-1,4.168630600E1,-2.603881836E0
6.718268568E2,4.909057617E-1,4.160867691E1,-2.510986328E0
6.718368998E2,2.604827881E-1,4.160663223E1,-2.588668823E0
6.718469428E2,4.409637451E-1,4.155018234E1,-2.533920288E0
6.718569858E2,4.780273438E-1,4.165738297E1,-2.663497925E0
6.718670288E2,2.780303955E-1,4.150268936E1,-2.700729370E0
6.718770718E2,3.553009033E-1,4.147000504E1,-2.598159790E0
6.718871148E2,4.118957520E-1,4.152813339E1,-2.724548340E0
6.718971578E2,4.072265625E-1,4.157880020E1,-2.629974365E0
6.719072008E2,3.235473633E-1,4.150934219E1,-2.771255493E0
6.719172438E2,5.012207031E-1,4.159193039E1,-2.545867920E0
6.719272868E2,4.566650391E-1,4.151260757E1,-2.354797363E0
6.719373298E2,4.170227051E-1,4.168002701E1,-2.640060425E0
6.719473728E2,4.443511963E-1,4.174097061E1,-2.661087036E0
6.719574158E2,5.485992432E-1,4.164150620E1,-2.616455078E0
6.719674588E2,5.554656982E-1,4.164676285E1,-2.349533081E0
6.719775018E2,5.211181641E-1,4.158693314E1,-2.554885864E0
6.719875448E2,4.801940918E-1,4.165327835E1,-2.599914551E0
6.719975878E2,4.714050293E-1,4.171973801E1,-2.385757446E0
6.720076308E2,3.382263184E-1,4.164562607E1,-2.562011719E0
6.720176738E2,5.588989258E-1,4.161241531E1,-2.534088135E0
6.720277168E2,4.810791016E-1,4.157773209E1,-2.625762939E0
6.720377598E2,4.016418457E-1,4.164404678E1,-2.636459351E0
6.720478028E2,5.356445312E-1,4.166644669E1,-2.650131226E0
6.720578458E2,5.714416504E-1,4.173591232E1,-2.560165405E0
6.720678888E2,5.541229248E-1,4.174030685E1,-2.649673462E0
6.720779318E2,5.230712891E-1,4.165217972E1,-2.699432373E0
6.720879748E2,4.900665283E-1,4.171349716E1,-2.624404907E0
6.720980178E2,4.387664795E-1,4.167963791E1,-2.612533569E0
6.721080608E2,3.807678223E-1,4.165353012E1,-2.757064819E0
6.721181038E2,3.396606445E-1,4.155866623E1,-2.684906006E0
6.721281468E2,4.526367188E-1,4.155099869E1,-2.531860352E0
6.721381898E2,3.850708008E-1,4.147104263E1,-2.532165527E0
6.721482328E2,3.653106689E-1,4.150385666E1,-2.746353149E0
6.721582758E2,4.624023438E-1,4.158592606E1,-2.867630005E0
6.721683188E2,4.223785400E-1,4.162953568E1,-2.626281738E0
6.721783618E2,4.956665039E-1,4.156960678E1,-2.429199219E0
6.721884048E2,3.021545410E-1,4.150961685E1,-2.776596069E0
6.721984488E2,4.731140137E-1,4.158140182E1,-2.664352417E0
6.722084908E2,3.227844238E-1,4.152430344E1,-2.648406982E0
6.722185348E2,5.031127930E-1,4.149054337E1,-2.591369629E0
6.722285778E2,5.427856445E-1,4.159874344E1,-2.628799438E0
6.722386208E2,3.784027100E-1,4.152282333E1,-2.641784668E0
6.722486638E2,3.251800537E-1,4.153610611E1,-2.551513672E0
6.722587068E2,3.822631836E-1,4.137439346E1,-2.590423584E0
6.722687498E2,3.801727295E-1,4.153098679E1,-2.434738159E0
6.722787928E2,4.817810059E-1,4.156151199E1,-2.460998535E0
6.722888358E2,2.624511719E-1,4.157320023E1,-2.616394043E0
6.722988788E2,3.834075928E-1,4.169662857E1,-2.631317139E0
6.723089218E2,4.226531982E-1,4.168875504E1,-2.602462769E0
6.723189648E2,4.349365234E-1,4.151334763E1,-2.583923340E0
6.723290078E2,3.215484619E-1,4.153433609E1,-2.815032959E0
6.723390508E2,3.182525635E-1,4.148025894E1,-2.795913696E0
6.723490938E2,4.129486084E-1,4.155122757E1,-2.997863770E0
6.723591368E2,3.575897217E-1,4.165130234E1,-2.799087524E0
6.723691798E2,5.148162842E-1,4.165204239E1,-2.718643188E0
6.723792228E2,6.062774658E-1,4.164695358E1,-2.894256592E0
6.723892658E2,5.538024902E-1,4.161154556E1,-2.825164795E0
6.723993088E2,5.189514160E-1,4.162258530E1,-2.770889282E0
6.724093518E2,5.035400391E-1,4.156422043E1,-2.864105225E0
6.724193948E2,4.541625977E-1,4.158680344E1,-2.689514160E0
6.724294378E2,4.961242676E-1,4.164685440E1,-2.589920044E0
6.724394808E2,5.175018311E-1,4.148189926E1,-2.859375000E0
6.724495238E2,4.223632812E-1,4.147126389E1,-2.637329102E0
6.724595668E2,3.965454102E-1,4.145406723E1,-2.597854614E0
6.724696098E2,5.063323975E-1,4.148715591E1,-2.647888184E0
6.724796528E2,6.674804688E-1,4.158897781E1,-2.471481323E0
6.724896958E2,4.901275635E-1,4.159212875E1,-2.547302246E0
