"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.637087131E2,1.355262756E2,-4.667393494E1,-4.313912964E1
1.638082781E2,1.350039673E2,-4.610473633E1,-4.296496582E1
1.639078431E2,1.354510040E2,-4.646336365E1,-4.348822021E1
1.640074081E2,1.354394073E2,-4.488861084E1,-4.286340332E1
1.641069741E2,1.358275146E2,-4.481793213E1,-4.331213379E1
1.642065391E2,1.358288269E2,-4.404928589E1,-4.334835815E1
1.643061045E2,1.361546021E2,-4.517593384E1,-4.261456299E1
1.644056695E2,1.376906128E2,-4.843002319E1,-4.339688110E1
1.645052345E2,1.370614624E2,-4.850151062E1,-4.216720581E1
1.646047995E2,1.373964386E2,-4.920556641E1,-4.306683350E1
1.647043655E2,1.378418121E2,-5.058326721E1,-4.263626099E1
1.648039305E2,1.384421692E2,-5.156513977E1,-4.182647705E1
1.649034955E2,1.388577271E2,-5.306346130E1,-4.093615723E1
1.650030605E2,1.396322327E2,-5.397326660E1,-4.125704956E1
1.651026255E2,1.407244873E2,-5.624795532E1,-4.037121582E1
1.652021905E2,1.436142883E2,-5.939462280E1,-4.119146729E1
1.653017555E2,1.447250519E2,-5.921354675E1,-4.203384399E1
1.654013198E2,1.456639404E2,-5.924017334E1,-4.145358276E1
1.655008858E2,1.464770813E2,-5.932048035E1,-4.206625366E1
1.656004508E2,1.470908051E2,-5.860163879E1,-4.213177490E1
1.657000158E2,1.479865417E2,-5.883432007E1,-4.141033936E1
1.657995808E2,1.485225067E2,-5.851324463E1,-4.154852295E1
1.658991458E2,1.494889374E2,-5.956150818E1,-4.123049927E1
1.659987108E2,1.515180817E2,-6.289228821E1,-4.069357300E1
1.660982758E2,1.512232819E2,-6.183837891E1,-4.053994751E1
1.661978408E2,1.518787689E2,-6.276817322E1,-4.043423462E1
1.662974068E2,1.534417419E2,-6.282180786E1,-4.045980835E1
1.663969718E2,1.546027985E2,-6.343881226E1,-4.080374146E1
1.664965368E2,1.555749512E2,-6.441868591E1,-4.037255859E1
1.665961017E2,1.560216980E2,-6.495678711E1,-4.087362671E1
1.666956667E2,1.572722626E2,-6.682792664E1,-3.988043213E1
1.667952318E2,1.598126221E2,-6.952383423E1,-3.939050293E1
1.668947968E2,1.596036530E2,-6.804261780E1,-3.976513672E1
1.669943617E2,1.606048126E2,-6.837730408E1,-4.062277222E1
1.670939267E2,1.609485474E2,-6.783491516E1,-4.086044312E1
1.671934917E2,1.612215729E2,-6.814149475E1,-4.095281982E1
1.672930577E2,1.615958405E2,-6.879029846E1,-4.114810181E1
1.673926228E2,1.616629791E2,-6.879849243E1,-4.102401733E1
1.674921878E2,1.625181427E2,-7.031948853E1,-4.007336426E1
1.675917527E2,1.646718292E2,-7.341665649E1,-3.813400269E1
1.676913181E2,1.657057037E2,-7.134213257E1,-4.012542725E1
1.677908831E2,1.674291077E2,-7.191567993E1,-3.962438965E1
1.678904481E2,1.698708954E2,-7.056593323E1,-4.067266846E1
1.679900131E2,1.722494202E2,-7.039273071E1,-3.980319214E1
1.680895781E2,1.739601593E2,-6.964154053E1,-4.032421875E1
1.681891431E2,1.747005463E2,-6.933419800E1,-4.106356812E1
1.682887081E2,1.775106659E2,-7.065072632E1,-3.968389893E1
1.683882741E2,1.805683289E2,-7.189128113E1,-3.772308350E1
1.684878391E2,1.809428406E2,-6.830064392E1,-4.083843994E1
1.685874041E2,1.821659241E2,-6.743405151E1,-4.071823120E1
1.686869691E2,1.829050446E2,-6.680728149E1,-4.105065918E1
1.687865338E2,1.836239777E2,-6.671084595E1,-4.021093750E1
1.688860988E2,1.840565948E2,-6.702348328E1,-4.010769653E1
1.689856638E2,1.843160553E2,-6.761662292E1,-4.036129761E1
1.690852288E2,1.854870911E2,-7.168556213E1,-3.741650391E1
1.691847938E2,1.861633606E2,-7.085359192E1,-3.782009888E1
1.692843588E2,1.864434662E2,-6.982159424E1,-3.855612183E1
1.693839238E2,1.882165222E2,-6.804750061E1,-3.872467041E1
1.694834888E2,1.899000854E2,-6.445207214E1,-3.979367065E1
1.695830538E2,1.911423492E2,-6.284375000E1,-4.040835571E1
1.696826188E2,1.910696259E2,-6.158018494E1,-4.051818848E1
1.697821838E2,1.902719421E2,-6.169519043E1,-4.088287354E1
1.698817488E2,1.908729248E2,-6.262095642E1,-4.049996948E1
1.699813139E2,1.921009064E2,-6.501252747E1,-3.823611450E1
1.700808789E2,1.912574615E2,-6.234948730E1,-3.947558594E1
1.701804439E2,1.908726196E2,-6.128982544E1,-4.066946411E1
1.702800089E2,1.905502777E2,-6.091186523E1,-4.104202271E1
1.703795749E2,1.899888916E2,-6.113392639E1,-4.047512817E1
1.704791399E2,1.892525482E2,-6.118453979E1,-4.020742798E1
1.705787049E2,1.884657440E2,-6.209655762E1,-4.114755249E1
1.706782699E2,1.880804443E2,-6.316215515E1,-4.018508911E1
1.707778349E2,1.884940033E2,-6.544773865E1,-3.887203979E1
1.708773999E2,1.870089264E2,-6.267922974E1,-4.105697632E1
1.709769649E2,1.871663055E2,-6.270401001E1,-3.998864746E1
1.710765300E2,1.870369568E2,-6.116296387E1,-4.095144653E1
1.711760950E2,1.867917938E2,-5.979235840E1,-4.157928467E1
1.712756600E2,1.863148804E2,-5.907485962E1,-4.210562134E1
1.713752250E2,1.856252441E2,-5.888017273E1,-4.166647339E1
1.714747900E2,1.855838013E2,-5.993537903E1,-4.121536255E1
1.715743550E2,1.868595276E2,-6.140254211E1,-3.978283691E1
1.716739200E2,1.863264160E2,-5.958689880E1,-4.084860229E1
1.717734850E2,1.854615173E2,-5.951312256E1,-4.091085815E1
1.718730500E2,1.851065826E2,-5.961679077E1,-4.066976929E1
1.719726150E2,1.845134430E2,-5.964465332E1,-4.049765015E1
1.720721800E2,1.840958405E2,-5.985874939E1,-4.088793945E1
1.721717450E2,1.831953735E2,-5.994334412E1,-4.145092773E1
1.722713099E2,1.829438477E2,-6.151783752E1,-4.017565918E1
1.723708749E2,1.830818176E2,-6.245976257E1,-3.975259399E1
1.724704399E2,1.824403687E2,-6.050212097E1,-4.054632568E1
1.725700049E2,1.825254669E2,-6.018954468E1,-4.051605225E1
1.726695699E2,1.826691437E2,-5.897207642E1,-4.130621338E1
1.727691349E2,1.823459015E2,-5.826502991E1,-4.163558960E1
1.728686999E2,1.822434845E2,-5.765090942E1,-4.215539551E1
1.729682649E2,1.818515472E2,-5.803875732E1,-4.183172607E1
1.730678299E2,1.821450348E2,-5.952615356E1,-4.073046875E1
1.731673949E2,1.832063141E2,-6.017283630E1,-3.985745239E1
1.732669599E2,1.820229187E2,-5.814814758E1,-4.104119873E1
1.733665240E2,1.823814545E2,-5.876696777E1,-4.138699341E1
1.734660890E2,1.818958130E2,-5.825009155E1,-4.158462524E1
1.735656540E2,1.818761597E2,-5.788098145E1,-4.141891479E1
1.736652190E2,1.819564362E2,-5.856582642E1,-4.188198853E1
1.737647840E2,1.818490448E2,-5.846035767E1,-4.173266602E1
1.738643490E2,1.829295807E2,-6.064393616E1,-4.140759277E1
1.739639140E2,1.830724945E2,-6.138227844E1,-4.078964233E1
1.740634790E2,1.821250305E2,-5.974407959E1,-4.132528687E1
1.741630440E2,1.822968445E2,-5.977714539E1,-4.147177124E1
1.742626090E2,1.824144135E2,-5.879678345E1,-4.199014282E1
1.743621740E2,1.823863220E2,-5.807690430E1,-4.237875366E1
1.744617406E2,1.822142181E2,-5.772032166E1,-4.283901978E1
1.745613056E2,1.817382965E2,-5.849632263E1,-4.286587524E1
1.746608706E2,1.820113983E2,-5.943508911E1,-4.229284668E1
1.747604356E2,1.834064789E2,-6.062693787E1,-4.115615845E1
1.748600006E2,1.829233856E2,-5.955825806E1,-4.218383789E1
1.749595656E2,1.828479156E2,-5.894628906E1,-4.173077393E1
1.750591306E2,1.826206512E2,-5.858787537E1,-4.296151733E1
1.751586946E2,1.824866333E2,-5.802767944E1,-4.287051392E1
1.752582596E2,1.822900848E2,-5.846832275E1,-4.277487183E1
1.753578246E2,1.820471191E2,-5.810937500E1,-4.337939453E1
1.754573896E2,1.820240784E2,-5.982003784E1,-4.193710327E1
1.755569546E2,1.829039612E2,-6.216824341E1,-4.163037109E1
1.756565186E2,1.819579010E2,-6.058581543E1,-4.351449585E1
1.757560836E2,1.818630676E2,-6.090608215E1,-4.274304199E1
1.758556486E2,1.820302887E2,-5.962348938E1,-4.267456055E1
1.759552136E2,1.816942749E2,-5.833839417E1,-4.325286865E1
1.760547786E2,1.819345398E2,-5.783865356E1,-4.339559937E1
1.761543436E2,1.814546509E2,-5.759710693E1,-4.358447266E1
1.762539086E2,1.816000214E2,-5.806900024E1,-4.371258545E1
1.763534726E2,1.827154999E2,-5.964723206E1,-4.329013062E1
1.764530376E2,1.836438141E2,-5.976203918E1,-4.242681885E1
1.765526026E2,1.830522461E2,-5.853425598E1,-4.400204468E1
1.766521676E2,1.833769379E2,-5.789355469E1,-4.453811646E1
1.767517320E2,1.828875580E2,-5.777793884E1,-4.450021362E1
1.768512970E2,1.828936615E2,-5.783697510E1,-4.356838989E1
1.769508620E2,1.829429779E2,-5.816427612E1,-4.426614380E1
